DonorID,DonorName,PrefectureID,Age,Occupation,PrefectureName,PrefectureNameEn,OccupationEn
2000151,木村香織,32,37,その他,島根県,Shimane,Other
2000152,武田彩,13,64,飲食業,東京都,Tokyo,Food service
2000153,石川沙織,34,30,弁護士,広島県,Hiroshima,Lawyer
2000154,杉山義明,13,50,研究職,東京都,Tokyo,Researcher
2000155,千葉陸,29,53,パート・アルバイト,奈良県,Nara,Part-time worker
2000156,上田隆志,28,55,農業,兵庫県,Hyogo,Farmer
2000157,村上蓮,13,42,販売員,東京都,Tokyo,Retail staff
2000158,宮崎久美子,14,43,その他,神奈川県,Kanagawa,Other
2000159,岡本陽介,16,21,薬剤師,富山県,Toyama,Pharmacist
2000160,井上瑞穂,11,64,パート・アルバイト,埼玉県,Saitama,Part-time worker
2000161,本田一郎,13,25,会社員,東京都,Tokyo,Company employee
2000162,小林克彦,42,45,エンジニア,長崎県,Nagasaki,Engineer
2000163,内田博之,35,49,研究職,山口県,Yamaguchi,Researcher
2000164,田村奈々,23,45,看護師,愛知県,Aichi,Nurse
2000165,小林義明,31,33,保育士,鳥取県,Tottori,Childcare worker
2000166,平野玲子,27,45,その他,大阪府,Osaka,Other
2000167,飯田直樹,47,63,医師,沖縄県,Okinawa,Physician
2000168,菊地陽子,20,47,弁護士,長野県,Nagano,Lawyer
2000169,坂本和也,27,58,会社員,大阪府,Osaka,Company employee
2000170,渡部美咲,28,32,販売員,兵庫県,Hyogo,Retail staff
2000171,大塚幸子,4,78,主婦・主夫,宮城県,Miyagi,Homemaker
2000172,森田沙織,40,59,農業,福岡県,Fukuoka,Farmer
2000173,高田香織,14,30,建築士,神奈川県,Kanagawa,Architect
2000174,青木正樹,2,35,保育士,青森県,Aomori,Childcare worker
2000175,山田芽衣,6,49,医師,山形県,Yamagata,Physician
2000176,中川康平,15,42,主婦・主夫,新潟県,Niigata,Homemaker
2000177,上野楓,19,46,経理・財務,山梨県,Yamanashi,Accounting and finance
2000178,森涼太,17,40,公務員,石川県,Ishikawa,Public servant
2000179,村田達也,23,39,建築士,愛知県,Aichi,Architect
2000180,菊地将也,27,39,パート・アルバイト,大阪府,Osaka,Part-time worker
2000181,滝沢幸子,23,68,建築士,愛知県,Aichi,Architect
2000182,橋本正樹,4,20,エンジニア,宮城県,Miyagi,Engineer
2000183,杉本洋平,22,26,弁護士,静岡県,Shizuoka,Lawyer
2000184,竹内浩二,27,23,看護師,大阪府,Osaka,Nurse
2000185,藤原芽衣,8,43,経理・財務,茨城県,Ibaraki,Accounting and finance
2000186,木村優,23,25,自営業,愛知県,Aichi,Self-employed
2000187,安田美咲,22,38,営業職,静岡県,Shizuoka,Sales
2000188,宮崎義明,40,43,医師,福岡県,Fukuoka,Physician
2000189,杉山航,23,53,農業,愛知県,Aichi,Farmer
2000190,久保志保,43,48,エンジニア,熊本県,Kumamoto,Engineer
2000191,金子真一,1,36,コンサルタント,北海道,Hokkaido,Consultant
2000192,飯田美穂,11,55,その他,埼玉県,Saitama,Other
2000193,中村大地,31,48,営業職,鳥取県,Tottori,Sales
2000194,田中和也,29,26,エンジニア,奈良県,Nara,Engineer
2000195,岡本京子,30,55,会計士,和歌山県,Wakayama,Accountant
2000196,中島節子,11,34,弁護士,埼玉県,Saitama,Lawyer
2000197,近藤凛,16,46,デザイナー,富山県,Toyama,Designer
2000198,大野拓也,1,44,主婦・主夫,北海道,Hokkaido,Homemaker
2000199,伊藤光子,27,30,薬剤師,大阪府,Osaka,Pharmacist
2000200,鈴木達也,47,57,自営業,沖縄県,Okinawa,Self-employed
2000201,田口光子,28,52,経理・財務,兵庫県,Hyogo,Accounting and finance
2000202,水野澪,31,50,学生,鳥取県,Tottori,Student
2000203,高橋玲子,14,20,デザイナー,神奈川県,Kanagawa,Designer
2000204,菊地久美子,9,49,保育士,栃木県,Tochigi,Childcare worker
2000205,丸山啓介,27,48,保育士,大阪府,Osaka,Childcare worker
2000206,柴田英樹,23,37,看護師,愛知県,Aichi,Nurse
2000207,武田陽介,13,53,その他,東京都,Tokyo,Other
2000208,近藤悠人,44,53,エンジニア,大分県,Oita,Engineer
2000209,篠原陸,27,35,学生,大阪府,Osaka,Student
2000210,太田美咲,1,46,経理・財務,北海道,Hokkaido,Accounting and finance
2000211,森田正樹,28,43,パート・アルバイト,兵庫県,Hyogo,Part-time worker
2000212,大野誠,30,42,エンジニア,和歌山県,Wakayama,Engineer
2000213,田村智也,31,58,漁業,鳥取県,Tottori,Fisher
2000214,森田愛,13,52,飲食業,東京都,Tokyo,Food service
2000215,野村春香,23,56,農業,愛知県,Aichi,Farmer
2000216,松尾祐樹,28,60,飲食業,兵庫県,Hyogo,Food service
2000217,大塚啓介,33,32,漁業,岡山県,Okayama,Fisher
2000218,坂本義明,47,55,美容師,沖縄県,Okinawa,Hairdresser
2000219,千葉恵,23,58,デザイナー,愛知県,Aichi,Designer
2000220,大野文子,46,60,公務員,鹿児島県,Kagoshima,Public servant
2000221,松田芽衣,40,23,会計士,福岡県,Fukuoka,Accountant
2000222,石川陽子,11,27,看護師,埼玉県,Saitama,Nurse
2000223,林祐樹,23,41,研究職,愛知県,Aichi,Researcher
2000224,松田達也,27,36,薬剤師,大阪府,Osaka,Pharmacist
2000225,中川将也,33,53,会計士,岡山県,Okayama,Accountant
2000226,小野玲子,26,37,公務員,京都府,Kyoto,Public servant
2000227,渡部智也,14,45,エンジニア,神奈川県,Kanagawa,Engineer
2000228,岩崎恵,1,75,自営業,北海道,Hokkaido,Self-employed
2000229,古川千尋,31,29,飲食業,鳥取県,Tottori,Food service
2000230,浜田祐樹,39,62,主婦・主夫,高知県,Kochi,Homemaker
2000231,中川芽衣,1,53,看護師,北海道,Hokkaido,Nurse
2000232,福田直美,12,41,教員,千葉県,Chiba,Teacher
2000233,太田沙織,24,43,保育士,三重県,Mie,Childcare worker
2000234,坂本光子,13,42,その他,東京都,Tokyo,Other
2000235,渡辺春香,14,47,美容師,神奈川県,Kanagawa,Hairdresser
2000236,増田陽子,34,65,自営業,広島県,Hiroshima,Self-employed
2000237,青木正樹,40,54,公務員,福岡県,Fukuoka,Public servant
2000238,岩崎一郎,27,33,公務員,大阪府,Osaka,Public servant
2000239,大塚亮,14,34,エンジニア,神奈川県,Kanagawa,Engineer
2000240,上野愛,44,71,運転手,大分県,Oita,Driver
2000241,宮本健太,22,43,教員,静岡県,Shizuoka,Teacher
2000242,中島涼太,22,39,漁業,静岡県,Shizuoka,Fisher
2000243,大塚七海,20,53,公務員,長野県,Nagano,Public servant
2000244,松井春香,26,26,デザイナー,京都府,Kyoto,Designer
2000245,太田孝之,14,30,営業職,神奈川県,Kanagawa,Sales
2000246,杉山真一,14,31,年金受給者,神奈川県,Kanagawa,Pensioner
2000247,田口康平,13,56,学生,東京都,Tokyo,Student
2000248,柴田朱莉,5,75,会計士,秋田県,Akita,Accountant
2000249,飯田真央,23,36,保育士,愛知県,Aichi,Childcare worker
2000250,中島真央,19,43,販売員,山梨県,Yamanashi,Retail staff
2000251,斉藤蓮,13,32,弁護士,東京都,Tokyo,Lawyer
2000252,村上智也,36,57,薬剤師,徳島県,Tokushima,Pharmacist
2000253,斎藤雄大,27,21,パート・アルバイト,大阪府,Osaka,Part-time worker
2000254,横山真央,1,46,美容師,北海道,Hokkaido,Hairdresser
2000255,伊藤美咲,13,28,学生,東京都,Tokyo,Student
2000256,田村典子,27,39,飲食業,大阪府,Osaka,Food service
2000257,遠藤大輝,14,40,看護師,神奈川県,Kanagawa,Nurse
2000258,小林翔太,32,48,研究職,島根県,Shimane,Researcher
2000259,藤原大輝,12,53,飲食業,千葉県,Chiba,Food service
2000260,柴田慎太郎,40,37,経理・財務,福岡県,Fukuoka,Accounting and finance
2000261,田中桜,15,66,医師,新潟県,Niigata,Physician
2000262,清水桜,27,27,デザイナー,大阪府,Osaka,Designer
2000263,岡田彩,13,43,販売員,東京都,Tokyo,Retail staff
2000264,松田悠斗,14,31,エンジニア,神奈川県,Kanagawa,Engineer
2000265,吉田七海,43,73,年金受給者,熊本県,Kumamoto,Pensioner
2000266,石井義明,1,41,会社員,北海道,Hokkaido,Company employee
2000267,松田千尋,17,32,看護師,石川県,Ishikawa,Nurse
2000268,前田悠人,14,73,主婦・主夫,神奈川県,Kanagawa,Homemaker
2000269,森田博之,27,31,エンジニア,大阪府,Osaka,Engineer
2000270,森隆志,27,53,飲食業,大阪府,Osaka,Food service
2000271,柴田秀樹,42,73,飲食業,長崎県,Nagasaki,Food service
2000272,山口芽衣,13,59,研究職,東京都,Tokyo,Researcher
2000273,東節子,12,42,コンサルタント,千葉県,Chiba,Consultant
2000274,木下光,1,41,建築士,北海道,Hokkaido,Architect
2000275,関春香,14,47,年金受給者,神奈川県,Kanagawa,Pensioner
2000276,島田優,4,30,農業,宮城県,Miyagi,Farmer
2000277,西村直樹,9,24,運転手,栃木県,Tochigi,Driver
2000278,大西葵,1,45,主婦・主夫,北海道,Hokkaido,Homemaker
2000279,太田莉子,12,34,デザイナー,千葉県,Chiba,Designer
2000280,東翔太,19,53,美容師,山梨県,Yamanashi,Hairdresser
2000281,青木智子,11,44,営業職,埼玉県,Saitama,Sales
2000282,岩崎祐樹,27,37,経理・財務,大阪府,Osaka,Accounting and finance
2000283,佐々木将也,23,39,保育士,愛知県,Aichi,Childcare worker
2000284,内田美咲,39,33,医師,高知県,Kochi,Physician
2000285,篠原哲也,6,50,会社員,山形県,Yamagata,Company employee
2000286,渡辺七海,27,21,建築士,大阪府,Osaka,Architect
2000287,斎藤春香,13,50,学生,東京都,Tokyo,Student
2000288,後藤陽子,23,53,弁護士,愛知県,Aichi,Lawyer
2000289,松岡正樹,2,33,営業職,青森県,Aomori,Sales
2000290,森田誠,13,52,建築士,東京都,Tokyo,Architect
2000291,佐藤蓮,36,64,会計士,徳島県,Tokushima,Accountant
2000292,谷口春香,42,43,その他,長崎県,Nagasaki,Other
2000293,平野亮,11,30,美容師,埼玉県,Saitama,Hairdresser
2000294,竹内七海,15,30,営業職,新潟県,Niigata,Sales
2000295,斎藤節子,12,35,パート・アルバイト,千葉県,Chiba,Part-time worker
2000296,藤本康平,27,25,薬剤師,大阪府,Osaka,Pharmacist
2000297,岩崎拓也,2,38,研究職,青森県,Aomori,Researcher
2000298,内田志保,27,35,農業,大阪府,Osaka,Farmer
2000299,坂本朱莉,11,33,パート・アルバイト,埼玉県,Saitama,Part-time worker
2000300,浜田真一,37,56,研究職,香川県,Kagawa,Researcher
2000301,渡部光,17,49,会計士,石川県,Ishikawa,Accountant
2000302,田中克彦,12,43,美容師,千葉県,Chiba,Hairdresser
2000303,浜田達也,27,54,漁業,大阪府,Osaka,Fisher
2000304,古川裕子,23,21,主婦・主夫,愛知県,Aichi,Homemaker
2000305,野口文子,14,49,漁業,神奈川県,Kanagawa,Fisher
2000306,横田浩二,19,45,経理・財務,山梨県,Yamanashi,Accounting and finance
2000307,渡部春香,11,27,経理・財務,埼玉県,Saitama,Accounting and finance
2000308,篠原光,25,37,保育士,滋賀県,Shiga,Childcare worker
2000309,高木義明,26,46,パート・アルバイト,京都府,Kyoto,Part-time worker
2000310,平野誠,13,20,農業,東京都,Tokyo,Farmer
2000311,篠原陸,40,44,販売員,福岡県,Fukuoka,Retail staff
2000312,杉本心春,22,43,飲食業,静岡県,Shizuoka,Food service
2000313,安田裕子,17,72,研究職,石川県,Ishikawa,Researcher
2000314,森光子,12,58,会社員,千葉県,Chiba,Company employee
2000315,竹内凛,27,37,学生,大阪府,Osaka,Student
2000316,水野玲子,2,57,パート・アルバイト,青森県,Aomori,Part-time worker
2000317,阿部啓介,14,44,看護師,神奈川県,Kanagawa,Nurse
2000318,河野智也,27,43,会社員,大阪府,Osaka,Company employee
2000319,金子光子,27,45,会計士,大阪府,Osaka,Accountant
2000320,中山博之,46,42,学生,鹿児島県,Kagoshima,Student
2000321,坂本七海,23,53,エンジニア,愛知県,Aichi,Engineer
2000322,工藤健太,11,39,会社員,埼玉県,Saitama,Company employee
2000323,安田結衣,5,65,公務員,秋田県,Akita,Public servant
2000324,野口朱莉,25,20,公務員,滋賀県,Shiga,Public servant
2000325,横田由美,13,32,研究職,東京都,Tokyo,Researcher
2000326,横田瑞穂,40,48,デザイナー,福岡県,Fukuoka,Designer
2000327,木下結衣,14,31,美容師,神奈川県,Kanagawa,Hairdresser
2000328,山本哲也,41,54,飲食業,佐賀県,Saga,Food service
2000329,森田優,31,41,主婦・主夫,鳥取県,Tottori,Homemaker
2000330,水野陽子,11,42,会社員,埼玉県,Saitama,Company employee
2000331,竹内沙織,27,43,学生,大阪府,Osaka,Student
2000332,前田芽衣,17,23,営業職,石川県,Ishikawa,Sales
2000333,小松大地,14,64,会社員,神奈川県,Kanagawa,Company employee
2000334,太田慎太郎,1,69,漁業,北海道,Hokkaido,Fisher
2000335,河野駿,28,48,建築士,兵庫県,Hyogo,Architect
2000336,松井智也,33,31,公務員,岡山県,Okayama,Public servant
2000337,菊地航,29,26,経理・財務,奈良県,Nara,Accounting and finance
2000338,原田愛,25,54,経理・財務,滋賀県,Shiga,Accounting and finance
2000339,平野健太,23,27,飲食業,愛知県,Aichi,Food service
2000340,増田蓮,8,36,会計士,茨城県,Ibaraki,Accountant
2000341,小林沙織,16,54,経理・財務,富山県,Toyama,Accounting and finance
2000342,伊藤桜,5,67,公務員,秋田県,Akita,Public servant
2000343,岡本沙織,27,71,営業職,大阪府,Osaka,Sales
2000344,井上文子,22,53,医師,静岡県,Shizuoka,Physician
2000345,工藤桜,32,57,学生,島根県,Shimane,Student
2000346,柴田桜,22,41,運転手,静岡県,Shizuoka,Driver
2000347,篠原陸,5,47,看護師,秋田県,Akita,Nurse
2000348,酒井翔太,27,54,会社員,大阪府,Osaka,Company employee
2000349,菊地航,1,40,自営業,北海道,Hokkaido,Self-employed
2000350,河野克彦,11,47,美容師,埼玉県,Saitama,Hairdresser
2000351,藤本心春,24,78,建築士,三重県,Mie,Architect
2000352,水野志保,27,65,研究職,大阪府,Osaka,Researcher
2000353,中村智子,13,53,自営業,東京都,Tokyo,Self-employed
2000354,井上典子,22,77,建築士,静岡県,Shizuoka,Architect
2000355,工藤心春,12,52,建築士,千葉県,Chiba,Architect
2000356,木村英樹,27,35,美容師,大阪府,Osaka,Hairdresser
2000357,関克彦,41,33,営業職,佐賀県,Saga,Sales
2000358,原田達也,32,45,自営業,島根県,Shimane,Self-employed
2000359,宮本陸,3,41,会計士,岩手県,Iwate,Accountant
2000360,宮本彩,47,54,販売員,沖縄県,Okinawa,Retail staff
2000361,和田結衣,13,22,医師,東京都,Tokyo,Physician
2000362,高橋典子,5,66,弁護士,秋田県,Akita,Lawyer
2000363,滝沢大輝,12,70,教員,千葉県,Chiba,Teacher
2000364,上田智也,32,46,建築士,島根県,Shimane,Architect
2000365,中島博之,13,65,公務員,東京都,Tokyo,Public servant
2000366,藤田一郎,13,48,経理・財務,東京都,Tokyo,Accounting and finance
2000367,竹内千尋,21,62,弁護士,岐阜県,Gifu,Lawyer
2000368,高田節子,11,67,保育士,埼玉県,Saitama,Childcare worker
2000369,池田澪,23,41,デザイナー,愛知県,Aichi,Designer
2000370,岩崎芽衣,23,45,販売員,愛知県,Aichi,Retail staff
2000371,田口莉子,29,68,保育士,奈良県,Nara,Childcare worker
2000372,大西朱莉,39,76,年金受給者,高知県,Kochi,Pensioner
2000373,滝沢節子,13,31,飲食業,東京都,Tokyo,Food service
2000374,林航,18,37,エンジニア,福井県,Fukui,Engineer
2000375,和田洋子,44,26,公務員,大分県,Oita,Public servant
2000376,小川春香,29,62,医師,奈良県,Nara,Physician
2000377,水野亮,23,25,自営業,愛知県,Aichi,Self-employed
2000378,高橋春香,18,58,弁護士,福井県,Fukui,Lawyer
2000379,工藤芽衣,4,47,自営業,宮城県,Miyagi,Self-employed
2000380,渡部節子,22,42,薬剤師,静岡県,Shizuoka,Pharmacist
2000381,松岡洋子,40,52,公務員,福岡県,Fukuoka,Public servant
2000382,河野航,14,57,年金受給者,神奈川県,Kanagawa,Pensioner
2000383,谷口莉子,43,71,年金受給者,熊本県,Kumamoto,Pensioner
2000384,大野久美子,12,32,漁業,千葉県,Chiba,Fisher
2000385,田口英樹,46,31,弁護士,鹿児島県,Kagoshima,Lawyer
2000386,大塚光子,23,52,その他,愛知県,Aichi,Other
2000387,武田志保,38,31,美容師,愛媛県,Ehime,Hairdresser
2000388,田村恵,23,33,公務員,愛知県,Aichi,Public servant
2000389,木村澪,13,40,コンサルタント,東京都,Tokyo,Consultant
2000390,村田心春,7,39,年金受給者,福島県,Fukushima,Pensioner
2000391,中山朱莉,22,61,営業職,静岡県,Shizuoka,Sales
2000392,関真央,15,36,薬剤師,新潟県,Niigata,Pharmacist
2000393,星野結衣,27,44,学生,大阪府,Osaka,Student
2000394,星野美穂,44,30,パート・アルバイト,大分県,Oita,Part-time worker
2000395,中村志保,12,52,漁業,千葉県,Chiba,Fisher
2000396,桜井哲也,23,55,年金受給者,愛知県,Aichi,Pensioner
2000397,小川沙織,28,46,研究職,兵庫県,Hyogo,Researcher
2000398,中川智子,40,32,コンサルタント,福岡県,Fukuoka,Consultant
2000399,田口桜,13,53,学生,東京都,Tokyo,Student
2000400,大野結衣,25,56,年金受給者,滋賀県,Shiga,Pensioner
2000401,田口和子,38,26,コンサルタント,愛媛県,Ehime,Consultant
